,Player,Nation,Pos,Squad.2,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
190,Christian Eriksen,dk DEN,MF,Manchester Utd,31,1992,2.3,0,2,2,100.0,0.89,0.89,0.0,0.0,0,0,0,0.4,0.4,0.18,-0.4,-0.4
191,Stephen Eustáquio,ca CAN,MF,Porto,26,1996,5.9,1,7,4,57.1,1.18,0.68,0.14,0.25,0,0,0,0.5,0.5,0.08,0.5,0.5
192,Evanilson,br BRA,FW,Porto,23,1999,5.4,4,13,6,46.2,2.4,1.11,0.23,0.5,0,1,1,1.7,1.0,0.07,2.3,2.0
194,Rasmus Falk,dk DEN,MF,FC Copenhagen,31,1992,7.0,0,2,1,50.0,0.29,0.14,0.0,0.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
195,João Félix,pt POR,FW,Barcelona,23,1999,4.1,3,17,7,41.2,4.15,1.71,0.18,0.43,0,0,0,1.6,1.6,0.09,1.4,1.4
196,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,28,1994,6.0,2,14,3,21.4,2.33,0.5,0.07,0.33,2,1,1,1.6,0.9,0.06,0.4,0.1
199,Fernando,br BRA,FW,RB Salzburg,24,1999,0.4,0,3,1,33.3,7.5,2.5,0.0,0.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3
202,Phil Foden,eng ENG,"FW,MF",Manchester City,23,2000,7.6,5,33,12,36.4,4.36,1.59,0.15,0.42,2,0,0,3.3,3.3,0.1,1.7,1.7
206,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,31,1991,4.5,1,9,1,11.1,2.0,0.22,0.11,1.0,2,0,0,0.8,0.8,0.09,0.2,0.2
211,André Franco,pt POR,"MF,FW",Porto,25,1998,2.6,0,5,2,40.0,1.91,0.76,0.0,0.0,0,0,0,0.7,0.7,0.15,-0.7,-0.7
213,Davide Frattesi,it ITA,MF,Inter,23,1999,5.0,1,10,2,20.0,1.99,0.4,0.1,0.5,0,0,0,0.9,0.9,0.09,0.1,0.1
215,Angelo Fulgini,fr FRA,MF,Lens,26,1996,3.2,2,7,4,57.1,2.17,1.24,0.29,0.5,2,0,0,1.4,1.4,0.2,0.6,0.6
216,Niclas Füllkrug,de GER,FW,Dortmund,30,1993,11.5,3,35,11,31.4,3.04,0.96,0.09,0.27,0,0,0,5.4,5.4,0.15,-2.4,-2.4
217,Kyogo Furuhashi,jp JPN,FW,Celtic,28,1995,5.0,2,10,5,50.0,2.01,1.01,0.2,0.4,0,0,0,1.5,1.5,0.15,0.5,0.5
221,Galeno,br BRA,"MF,FW",Porto,25,1997,7.2,5,16,11,68.8,2.22,1.53,0.31,0.45,0,0,0,2.9,2.9,0.19,2.1,2.1
222,Silvère Ganvoula M'Boussy,cg CGO,FW,Young Boys,27,1996,1.3,0,7,1,14.3,5.48,0.78,0.0,0.0,1,0,0,0.8,0.8,0.11,-0.8,-0.8
224,Ulisses Garcia,ch SUI,DF,Young Boys,27,1996,5.6,0,8,2,25.0,1.43,0.36,0.0,0.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4
225,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,19,2004,3.3,1,8,3,37.5,2.39,0.9,0.13,0.33,0,0,0,1.3,1.3,0.16,-0.3,-0.3
226,Gavi,es ESP,MF,Barcelona,18,2004,2.5,1,3,2,66.7,1.19,0.8,0.33,0.5,0,0,0,0.5,0.5,0.15,0.5,0.5
227,Lutsharel Geertruida,nl NED,DF,Feyenoord,23,2000,6.0,0,2,1,50.0,0.33,0.17,0.0,0.0,0,0,0,0.4,0.4,0.2,-0.4,-0.4
228,Mario Gila,es ESP,DF,Lazio,22,2000,3.9,0,3,2,66.7,0.77,0.51,0.0,0.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
229,Santiago Giménez,mx MEX,FW,Feyenoord,22,2001,3.9,2,11,6,54.5,2.85,1.56,0.18,0.33,0,0,0,2.3,2.3,0.21,-0.3,-0.3
230,Olivier Giroud,fr FRA,FW,Milan,36,1986,5.7,1,12,6,50.0,2.12,1.06,0.08,0.17,0,0,1,2.6,1.8,0.15,-1.6,-0.8
231,Jamie Gittens,eng ENG,FW,Dortmund,18,2004,2.3,1,8,1,12.5,3.51,0.44,0.13,1.0,0,0,0,0.5,0.5,0.07,0.5,0.5
234,Oscar Gloukh,il ISR,"MF,FW",RB Salzburg,19,2004,5.3,2,7,4,57.1,1.32,0.76,0.29,0.5,1,0,0,1.2,1.2,0.18,0.8,0.8
235,Serge Gnabry,de GER,FW,Bayern Munich,28,1995,2.2,2,4,2,50.0,1.8,0.9,0.5,1.0,0,0,0,0.7,0.7,0.18,1.3,1.3
236,Giorgi Gocholeishvili,ge GEO,DF,Shakhtar,22,2001,3.2,0,2,2,100.0,0.63,0.63,0.0,0.0,0,0,0,0.2,0.2,0.1,-0.2,-0.2
